client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
3104377,34.0,417.0,63.0,F,3.0,3377435.0,5.0,8.0
4170232,35.0,430.0,70.5,M,4.0,3354141.15,6.0,9.0
2579616,31.0,379.0,60.0,M,4.0,3351539.77,2.0,5.0
8115034,29.0,350.0,76.5,M,3.0,3301237.67,2.0,6.0
4311537,9.0,119.0,69.5,M,3.0,3244645.61,7.0,7.0
5743376,40.0,485.0,66.5,M,3.0,3228350.47,6.0,9.0
5986644,18.0,216.0,74.0,M,4.0,3220673.11,6.0,9.0
7918624,5.0,70.0,51.0,M,2.0,3210120.39,7.0,7.0
9893446,29.0,353.0,65.0,M,3.0,3193269.83,6.0,9.0
2976295,22.0,267.0,49.5,M,3.0,3191837.41,7.0,7.0
4473931,27.0,335.0,65.5,F,3.0,3191769.31,3.0,7.0
8286876,27.0,327.0,57.5,F,3.0,3189564.5,6.0,9.0
4193650,28.0,340.0,43.5,M,3.0,3171343.45,6.0,9.0
